"ISLAND","SITE","LATITUDE","LONGITUDE","WavePower"
"Tutuila","TUT-01526",-14.24650406,-170.5796353,28831.9504775
"Tutuila","TUT-01783",-14.28062285,-170.5449018,100767.951756667
"Tutuila","TUT-01744",-14.28367219,-170.5369313,151437.75265
"Tutuila","TUT-01652",-14.29068214,-170.7894326,23487.15038
"Tutuila","TUT-01601",-14.29099378,-170.8018875,24252.4337166667
"Tutuila","TUT-01623",-14.30099373,-170.8181388,19559.850335
"Tutuila","TUT-01585",-14.31243779,-170.8365088,25987.20044
"Tutuila","TUT-01837",-14.262152,-170.557641,70470.35126
"Tutuila","TUT-01923",-14.261992,-170.557989,70470.35126
"Tutuila","TUT-01822",-14.29051,-170.65157,124176.7522
"Tutuila","TUT-01913",-14.273072,-170.570822,76859.50131
"Tutuila","TUT-01858",-14.28371,-170.62837,121583.65215
"Tutuila","TUT-01715",-14.29024838,-170.5505429,132092.327325
"Tutuila","TUT-01934",-14.278025,-170.578767,105845.4519
"Tutuila","TUT-01513",-14.24907,-170.583341,22419.80038
"Tutuila","TUT-01517",-14.255395,-170.625903,7695.1501165
"Tutuila","TUT-01525",-14.254759,-170.558864,74077.95126
"Tutuila","TUT-01522",-14.255843,-170.60548,18122.850305
"Tutuila","TUT-01568",-14.248825,-170.62655,29446.30049
"Tutuila","TUT-01583",-14.249659,-170.583157,22419.80038
"Tutuila","TUT-01561",-14.247019,-170.567499,33431.3172516667
"Tutuila","TUT-01551",-14.249868,-170.562283,69059.42623
"Tutuila","TUT-01590",-14.237285,-170.673834,35131.000625
"Tutuila","TUT-01646",-14.25176,-170.697108,25361.55044
"Tutuila","TUT-01663",-14.261661,-170.706756,17465.6503
"Tutuila","TUT-01654",-14.285999,-170.724148,15103.250265
"Tutuila","TUT-01595",-14.28528,-170.73782,21322.000365
"Tutuila","TUT-01628",-14.28881,-170.78067,23518.20038
"Tutuila","TUT-01905",-14.27423,-170.61926,101957.25185
"Tutuila","TUT-01635",-14.28641,-170.72401,15103.250265
"Tutuila","TUT-01987",-14.36670408,-170.7633485,63645.6011125
"Tutuila","TUT-01871",-14.28818,-170.64116,123701.80215
"Tutuila","TUT-01981",-14.363104,-170.753147,96430.60166
"Tutuila","TUT-01952",-14.362481,-170.746496,91185.35161
"Tutuila","TUT-01966",-14.368155,-170.75386,125040.0772
"Tutuila","TUT-02065",-14.339877,-170.790903,63381.75111
"Tutuila","TUT-02044",-14.36335701,-170.781853,111835.602
"Tutuila","TUT-02086",-14.35459734,-170.787302,78137.9513675
"Tutuila","TUT-02032",-14.35409937,-170.7879448,76307.451295
"Tutuila","TUT-02116",-14.33431615,-170.8162656,95917.551665
"Tutuila","TUT-02106",-14.32947191,-170.831316,98927.9517275
"Tutuila","TUT-01828",-14.312528,-170.646729,128246.10225
"Tutuila","TUT-01854",-14.31619,-170.65031,128868.75225
"Tutuila","TUT-02095",-14.300762,-170.681107,120940.9021
"Tutuila","TUT-01864",-14.318459,-170.658108,129245.95225
"Tutuila","TUT-01887",-14.322459,-170.669159,129081.95225
"Tutuila","TUT-02036",-14.30048,-170.68234,120133.00205
"Tutuila","TUT-02056",-14.336865,-170.704707,129139.80225
"Tutuila","TUT-02110",-14.337328,-170.707369,128925.85225
"Tutuila","TUT-02079",-14.303933,-170.687805,119107.102
"Tutuila","TUT-02094",-14.316462,-170.693704,122180.2021
"Tutuila","TUT-01936",-14.291433,-170.661337,124701.7522
"Tutuila","TUT-02085",-14.333137,-170.698632,128999.80225
"Ofu & Olosega","OFU-00721",-14.16276248,-169.663283,44655.55072
"Ofu & Olosega","OFU-00669",-14.16467532,-169.6419309,40920.650705
"Ofu & Olosega","OFU-00764",-14.16269668,-169.6666443,44723.050755
"Ofu & Olosega","OFU-00728",-14.16425698,-169.6519034,42282.60072
"Ofu & Olosega","OFU-00722",-14.18606065,-169.6074286,101816.901795
"Ofu & Olosega","OFU-00655",-14.16261664,-169.6066056,85341.42648
"Ofu & Olosega","OFU-00750",-14.19067757,-169.6163635,90612.85154
"Ofu & Olosega","OFU-00744",-14.18412326,-169.624217,85198.451425
"Tau","TAU-00607",-14.210601,-169.42477,84196.40144
"Tau","TAU-00694",-14.210131,-169.4513,41313.050685
"Tau","TAU-00632",-14.2173,-169.4176,123227.07715
"Rose","ROS-00587",-14.553593,-168.143208,151001.5526
"Rose","ROS-00645",-14.558073,-168.161555,137011.20235
"Rose","ROS-00637",-14.548326,-168.168903,129579.6522
"Rose","ROS-00674",-14.556369,-168.150618,148940.90255
"Rose","ROS-00606",-14.54067769,-168.1447391,71743.8762525
"Rose","ROS-00585",-14.53631348,-168.1658033,44714.80079
"Rose","ROS-00627",-14.530823,-168.1554451,49632.45086
"Rose","ROS-00661",-14.54353793,-168.14257,77487.351345
"Rose","ROS-00644",-14.552974,-168.142061,152922.55265
"Rose","ROS-00607",-14.536258,-168.163982,43569.9007675
"Rose","ROS-00659",-14.54222,-168.17239,136494.9274
"Tau","TAU-00626",-14.244185,-169.418777,136577.95235
"Tau","TAU-00624",-14.212898,-169.467354,36571.60064
"Tau","TAU-00668",-14.210894,-169.434278,40058.250705
"Tau","TAU-00692",-14.2106,-169.454036,41918.50074
"Tau","TAU-00689",-14.215871,-169.492143,34546.3255925
